author,condition,ttr,avg_sentence_length,hapax_ratio,pos_NOUN,pos_VERB,pos_ADJF,pos_ADVB,pos_PREP,pos_CONJ,pos_PRCL,pos_INFN,pos_PRTF,pos_GRND
dostoevsky,baseline,0.9313828723921038,12.844356917592211,0.8721868719241638,0.2715933098508055,0.11217163100236238,0.10685452242921059,0.08186994286218703,0.08776503094238812,0.09401876037196823,0.07038352550032995,0.04155866039356773,0.002045648740606995,0.0014610995574041487
dostoevsky,rag_only,0.9356370167525174,13.94034090909091,0.8910862302719064,0.33707295288382855,0.0999430436446209,0.12837029833144273,0.07283317727499913,0.10048169787924,0.05891286305972728,0.0448626887095936,0.03172467726665279,0.003141096249672174,0.0006097560975609756
dostoevsky,rag_lora_r4,0.9356836937850048,16.892539682539685,0.8883076238809453,0.33647862944729884,0.09005345162295988,0.14241862082964635,0.06973785444050332,0.09229713741948956,0.06716025172770844,0.03503664543887853,0.040662104315358084,0.003568740287490287,0.0
dostoevsky,rag_lora_r8,0.9456760181954446,13.576227661227662,0.8977344530903377,0.3612132667895781,0.09480856298752179,0.14321213666320828,0.07205342992636352,0.08118694738604416,0.06245274415892217,0.049396928239074094,0.02433388135955115,0.004292012905501437,0.000625
dostoevsky,rag_lora_r16,0.9467063388259396,15.776919191919191,0.8995275868623004,0.3532015229909173,0.09424858567911276,0.13266599489356515,0.07360029432669354,0.0968867939902849,0.06208295599366494,0.04381187539463518,0.03187461387615258,0.0014732475268588448,0.0007194244604316547
dostoevsky,rag_lora_instruct,0.9748959632184452,23.466428571428573,0.9548666015334831,0.2914607209257378,0.10991507572830464,0.15574343213242017,0.10562007468394677,0.07832779412226651,0.09441639225695504,0.03950667107591106,0.036714086129024416,0.002538461538461539,0.0014835164835164834
chekhov,baseline,0.9232968703422593,12.10774833010127,0.853126680091376,0.2815608785244811,0.09936136146009089,0.13135077331437112,0.07035247555539212,0.09254541479456613,0.09114057372081454,0.06923439918623012,0.03389448339843242,0.0018691588785046728,0.0
chekhov,rag_only,0.9380799507856397,9.817593101343101,0.8849168219720355,0.30713072613879616,0.11415983560735972,0.11480726060998267,0.08613668146438092,0.0819276051383701,0.06948686338735978,0.06525266896721246,0.028181959507684446,0.0007518796992481202,0.002197176845064169
chekhov,rag_lora_r4,0.9430710694796851,15.83111111111111,0.8946491451191484,0.3855677948174168,0.0909373092335803,0.1392710297883716,0.05589130940188677,0.08976654287629493,0.06495641196277481,0.04333439252954296,0.02497495333423199,0.002825634488520151,0.0
chekhov,rag_lora_r8,0.9465096742665832,11.340852203352203,0.8998547431195087,0.3977710068808956,0.09339642995551072,0.12285897824907548,0.060758856441092836,0.0931120086966177,0.0440168126884489,0.050472122776036965,0.019394335600087124,0.006430776625136381,0.0007462686567164179
chekhov,rag_lora_r16,0.9408614832782195,13.585522810522809,0.8909382482390292,0.3671250314536364,0.09236850103792683,0.10478974690086344,0.07090240534674117,0.09670686596816327,0.07026322691350992,0.05276964056532311,0.021076219623703235,0.003151216042811882,0.0
chekhov,rag_lora_instruct,0.9733983540159757,20.679761904761904,0.9533327840533466,0.27188384901352364,0.12308911146259374,0.12875744997915956,0.10343582457521264,0.0973079283929211,0.09692758988193664,0.04715257451002959,0.028883188349434097,0.0021327967806841043,0.0007042253521126761
bulgakov,baseline,0.9303568637108416,12.905708221517045,0.8703085350586497,0.27357795047135597,0.10660492885012489,0.12432669383758925,0.07659826956884584,0.1002639160220378,0.08683770529105919,0.06287753922121639,0.03579245750415131,0.0012916666666666667,0.000625
bulgakov,rag_only,0.9440986042151949,11.826958874458875,0.8921432024088862,0.27736406314924456,0.1117808049209287,0.1270630057728328,0.0890290148023938,0.08439197322103684,0.07886078899187007,0.06458728957538837,0.04500204200515166,0.000591715976331361,0.0014561050513607963
bulgakov,rag_lora_r4,0.9266444531718531,10.127308802308802,0.8605913516720302,0.3053906990697163,0.09634670782118486,0.1303505538599692,0.09451269296233125,0.07247996860290004,0.08112740174921962,0.0819924221796006,0.035726059929357394,0.00122334455667789,0.000641025641025641
bulgakov,rag_lora_r8,0.9433974287855553,10.28670634920635,0.8973859237197643,0.36110198663787413,0.10699203424455386,0.12899955484339587,0.08128955425933035,0.08679352164489527,0.05143706756133663,0.05056210026915976,0.02570714748423582,0.0024093640349797983,0.0
bulgakov,rag_lora_r16,0.931010225584768,11.445742737654502,0.8730813500626053,0.26356277453759414,0.10296368704783217,0.12795562308587566,0.09266942010905216,0.08195128213521863,0.07267681683031313,0.08515120083545422,0.03698419840866459,0.0013072453861927547,0.0
bulgakov,rag_lora_instruct,0.9820520168188389,18.380714285714284,0.9664000709337153,0.3137790445380488,0.1141613652619041,0.1262009172782957,0.09513390300450081,0.10415877743563348,0.09241859998877419,0.04301308733531432,0.02202554441665694,0.002127659574468085,0.0
dostoevsky,original,0.3687518376290729,17.328797614392272,0.26547050566487873,0.2048772478276619,0.1237651457358635,0.12097945374595276,0.08472704752895949,0.10169698332705131,0.13116241609136564,0.07357695290981045,0.026242883759713276,0.00908635983894494,0.007926747922279471
chekhov,original,0.4033163998020405,9.664532147141385,0.29091444168562647,0.2568733989137615,0.14437929818022138,0.10141919587144162,0.06656634295148879,0.09595987455112998,0.10629344300252845,0.0586371417182513,0.026721702078099575,0.006184210798919637,0.009011070160152087
bulgakov,original,0.4865882589428319,9.10007852220003,0.36983900639272405,0.26639543228258356,0.1529813266748189,0.10033524744848141,0.06446887587935822,0.11023763326222173,0.10465777520949082,0.05011578775142761,0.02076729841484965,0.009013463847549452,0.0083890505141608
